,Provincia,Partido,Localidad,ADSL_x,CABLEMODEM,DIAL UP,FIBRA OPTICA,OTROS,SATELITAL,WIMAX,WIRELESS,Total general,Población,ADSL_y,Cablemódem,Dial Up,Fibra óptica,Satelital,Wireless,Telefonía Fija,3G,4G,Link,Latitud,Longitud
0,Buenos aires,25 de Mayo,25 de Mayo,874,4542,0,3,0,852,0,706,6977,23408,SI,SI,--,SI,SI,SI,SI,SI,SI,6854100.0,-35.4339385892588,-60.1731209454056
1,Buenos aires,25 de Mayo,Del Valle,181,0,0,0,10,1,0,0,192,899,SI,--,--,--,SI,--,--,SI,SI,6854020.0,-35.8973453887603,-60.7316089512944
2,Buenos aires,25 de Mayo,Gobernador Ugarte,0,0,0,0,0,0,0,181,181,547,--,--,--,--,--,SI,--,--,--,6854040.0,-35.1643973648093,-60.0813577815069
3,Buenos aires,25 de Mayo,Norberto de la Riestra,0,782,0,6,167,0,0,327,1282,4524,--,SI,--,SI,--,SI,SI,SI,SI,6854060.0,-35.2727788695321,-59.7719327250509
4,Buenos aires,25 de Mayo,Lucas Monteverde,0,0,0,0,0,0,0,6,6,63,--,--,--,--,--,SI,--,--,--,6854050.0,-35.4838272164734,-59.9880647932831
5,Buenos aires,25 de Mayo,Ernestina,66,0,0,0,0,0,0,0,66,145,SI,--,--,--,--,--,SI,--,--,6854030.0,-35.2702340519789,-59.5575034078873
6,Buenos aires,25 de Mayo,Pedernales,568,0,0,0,0,0,0,7,575,1432,SI,--,--,SI,--,SI,SI,--,SI,6854070.0,-35.2666085074294,-59.6306574695384
7,Buenos aires,9 de Julio,12 de Octubre,0,0,0,0,0,0,0,19,19,219,--,--,--,--,--,SI,SI,--,--,6588030.0,-35.607730780146,-60.9182929927645
8,Buenos aires,9 de Julio,9 de Julio,4313,3354,82,6228,83,1,0,831,14892,36494,SI,SI,SI,SI,SI,SI,SI,SI,SI,6588100.0,-35.4447435053964,-60.8843433362719
9,Buenos aires,9 de Julio,Dudignac,0,0,1,0,0,0,0,463,464,2670,--,--,SI,--,--,SI,SI,SI,SI,6588040.0,-35.6511928511123,-60.7098962799094
10,Buenos aires,9 de Julio,Patricios,81,0,0,0,0,0,0,0,81,745,SI,--,--,--,--,SI,SI,SI,--,6588110.0,-35.4395526972374,-60.7174384712323
11,Buenos aires,Adolfo Alsina,Carhué,780,0,1,1417,1,0,0,283,2482,9660,SI,--,SI,SI,--,SI,SI,SI,SI,6007010.0,-37.1774801030509,-62.7578962604015
12,Buenos aires,Adolfo Alsina,Maza,0,0,0,390,0,2,0,14,406,1748,--,--,--,SI,SI,SI,SI,SI,SI,6007070.0,-36.7999468137731,-63.3385151506224
13,Buenos aires,Adolfo Alsina,Rivera,0,0,0,1202,0,0,0,0,1202,3217,--,--,--,SI,--,--,SI,--,SI,6007080.0,-37.1583546113813,-63.2442194943605
14,Buenos aires,Adolfo Alsina,Colonia San Miguel Arcángel,0,0,0,208,0,0,0,0,208,563,--,--,--,SI,--,--,SI,--,SI,6007020.0,-37.4486186469627,-63.117609405389
15,Buenos aires,Adolfo Alsina,Esteban Agustín Gascón,0,0,0,60,0,0,0,0,60,104,--,--,--,SI,--,--,SI,--,--,6007050.0,-37.4544378016288,-63.2565950033782
16,Buenos aires,Adolfo Gonzales Chaves,De la Garma,0,0,0,654,6,0,0,57,717,1625,--,--,--,SI,--,SI,SI,SI,SI,6014020.0,-37.9635021758562,-60.415659383962
17,Buenos aires,Adolfo Gonzales Chaves,Juan E. Barra,0,0,0,0,0,0,0,46,46,212,--,--,--,--,--,SI,SI,--,--,6014030.0,-37.8233871716044,-60.484639770555
18,Buenos aires,Adolfo Gonzales Chaves,Vásquez,0,0,0,0,0,0,0,14,14,43,--,--,--,--,--,SI,SI,SI,SI,6014040.0,-38.1766861391835,-60.1708487303777
19,Buenos aires,Alberti,Mechita,285,0,0,0,0,0,0,0,285,412,SI,--,--,--,--,--,--,SI,SI,6021030.0,-35.068013673391,-60.4025971632697
20,Buenos aires,Almirante Brown,Adrogué,214,9299,59,11440,2,1,0,26,21041,30271,SI,SI,SI,SI,SI,SI,SI,SI,SI,6028010.0,-34.8015580737331,-58.3914677191541
21,Buenos aires,Almirante Brown,Burzaco,142,16627,35,11333,40,2,0,310,28489,92223,SI,SI,SI,SI,SI,SI,SI,SI,SI,6028010.0,-34.8315415891783,-58.3986874871405
22,Buenos aires,Almirante Brown,Claypole,5,7652,3,4140,13,0,0,2,11815,44098,SI,SI,SI,SI,--,SI,SI,SI,SI,6028010.0,-34.8044759080477,-58.3447825531042
23,Buenos aires,Almirante Brown,Don Orione,0,5407,0,0,0,0,0,1,5408,46366,--,SI,--,--,--,SI,--,SI,SI,6028010.0,-34.8210751643113,-58.3447457989957
24,Buenos aires,Almirante Brown,Glew,55,8227,10,11652,12,0,0,54,20010,61985,SI,SI,SI,SI,--,SI,SI,SI,SI,6028010.0,-34.8860114180413,-58.3818301842512
25,Buenos aires,Almirante Brown,Jose Mármol,0,7432,1,1410,2,0,0,1,8846,43494,--,SI,SI,SI,--,SI,SI,SI,SI,6028010.0,-34.7851442510713,-58.3681475603787
26,Buenos aires,Almirante Brown,Longchamps,30,9657,20,14739,24,0,0,1,24471,51001,SI,SI,SI,SI,--,SI,SI,SI,SI,6028010.0,-34.8609450255718,-58.3891476922426
27,Buenos aires,Almirante Brown,Malvinas Argentinas,2,5417,3,44,2,0,0,1,5469,25844,SI,SI,SI,SI,--,SI,SI,SI,SI,6028010.0,-34.8189583169642,-58.4235610606239
28,Buenos aires,Almirante Brown,Ministro Rivadavia,3,3474,4,4066,4,0,0,1,7552,17928,SI,SI,SI,SI,--,SI,SI,SI,SI,6028010.0,-34.8556895005541,-58.3616465427911
29,Buenos aires,Almirante Brown,Rafael Calzada,37,10549,15,9925,193,0,0,340,21059,60422,SI,SI,SI,SI,--,SI,SI,SI,SI,6028010.0,-34.7911367513318,-58.350598184222
30,Buenos aires,Almirante Brown,San Francisco Solano,26,4296,4,3253,131,0,0,2,7712,30355,SI,SI,SI,SI,--,SI,SI,SI,SI,6028010.0,-34.7866743578473,-58.3219363521574
31,Buenos aires,Almirante Brown,San Jose,3,9378,2,167,0,3,0,1,9554,48151,SI,SI,SI,SI,SI,SI,SI,SI,SI,6028010.0,-34.7673771924196,-58.3432771404358
32,Buenos aires,Arrecifes,Arrecifes,906,1153,12,4393,60,1,0,1878,8403,26400,SI,SI,SI,SI,SI,SI,SI,SI,SI,6077010.0,-34.064591121211,-60.1025564443537
33,Buenos aires,Arrecifes,Todd,0,0,0,304,0,0,0,0,304,732,--,--,--,SI,--,--,SI,SI,SI,6077020.0,-34.0328240475348,-60.1562270065746
34,Buenos aires,Arrecifes,Viña,50,60,0,0,0,0,0,0,110,464,SI,SI,--,--,--,--,--,SI,SI,6077030.0,-33.9922765156087,-60.2263211205477
35,Buenos aires,Avellaneda,Avellaneda,1486,8664,48,5897,68,5,0,80,16248,25325,SI,SI,SI,SI,SI,SI,SI,SI,SI,6035010.0,-34.6626508059016,-58.3656990232718
36,Buenos aires,Avellaneda,Crucesita,1,4887,0,2825,2,0,0,0,7715,22745,--,SI,--,SI,--,--,SI,SI,SI,6035010.0,-34.66910587351,-58.3574544412345
37,Buenos aires,Avellaneda,Dock Sud,11,675,0,2415,12,0,0,26,3139,37392,SI,SI,--,SI,--,SI,SI,SI,SI,6035010.0,-34.6491266928534,-58.3411774769137
38,Buenos aires,Avellaneda,Gerli,3,5975,0,4534,0,0,0,0,10512,32384,--,SI,--,SI,--,--,SI,SI,SI,6035010.0,-34.6847637540553,-58.3726025503412
39,Buenos aires,Avellaneda,Pineyro,9,5948,1,2403,0,0,0,0,8361,28102,--,SI,--,SI,--,--,SI,SI,SI,6035010.0,-34.6685497926645,-58.3886029123689
40,Buenos aires,Avellaneda,Sarandí,1935,9969,67,11897,4,3,0,1,23876,63281,SI,SI,SI,SI,SI,SI,SI,SI,SI,6035010.0,-34.6843716640855,-58.348101313379
41,Buenos aires,Avellaneda,Villa Domínico,16,8812,2,7111,11,0,0,626,16578,61273,SI,SI,--,SI,--,SI,SI,SI,SI,6035010.0,-34.6986315148924,-58.3363602646664
42,Buenos aires,Avellaneda,Wilde,2053,12456,66,13337,8,0,0,87,28007,68624,SI,SI,SI,SI,--,SI,SI,SI,SI,6035010.0,-34.7061588356333,-58.3218349208501
43,Buenos aires,Ayacucho,Ayacucho,2053,0,2,0,0,0,0,139,2194,17364,SI,--,SI,--,--,SI,SI,SI,SI,6042010.0,-37.1536695670417,-58.4895476662462
44,Buenos aires,Ayacucho,La Constancia,0,0,0,0,0,0,0,10,10,49,--,--,--,--,--,SI,--,--,--,6042020.0,-37.2286256057071,-58.7603890048806
