,Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Banda ancha fija,Dial up,Total_y,Accesos por cada 100 hab,Mbps (Media de bajada)
0,2022,4,Buenos Aires,325908.0,2767247.0,1499149.0,129910.0,72451.0,4788466,6199.0,4794665,26.72,111.0
1,2022,4,Capital Federal,138753.0,1238196.0,138548.0,4603.0,31826.0,1549781,2145.0,1551926,50.35,182.86
2,2022,4,Catamarca,8952.0,10998.0,47337.0,1379.0,2243.0,70908,1.0,70909,16.73,83.33
3,2022,4,Chaco,24582.0,61265.0,47285.0,7957.0,2574.0,143658,5.0,143663,11.66,104.02
4,2022,4,Chubut,45450.0,73923.0,9815.0,30721.0,8850.0,167855,904.0,168759,26.23,15.92
5,2022,4,Córdoba,152265.0,456947.0,367393.0,61631.0,11424.0,1049592,68.0,1049660,27.26,108.77
6,2022,4,Corrientes,34038.0,80283.0,26752.0,9082.0,5298.0,155449,4.0,155453,13.6,94.72
7,2022,4,Entre Ríos,55507.0,135746.0,40798.0,26414.0,12509.0,270952,22.0,270974,19.14,87.47
8,2022,4,Formosa,13735.0,17068.0,13118.0,17692.0,227.0,61840,0.0,61840,10.03,72.03
9,2022,4,Jujuy,17880.0,52390.0,42626.0,4067.0,1255.0,118218,0.0,118218,14.95,39.32
10,2022,4,La Pampa,7785.0,60566.0,24552.0,19995.0,1266.0,113993,171.0,114164,31.23,19.1
11,2022,4,La Rioja,6120.0,54387.0,19328.0,6395.0,32.0,86258,4.0,86262,21.26,61.0
12,2022,4,Mendoza,37655.0,77814.0,147080.0,27607.0,1948.0,291327,777.0,292104,14.33,38.76
13,2022,4,Misiones,33204.0,87202.0,46885.0,11075.0,7903.0,186269,0.0,186269,14.39,91.24
14,2022,4,Neuquén,28609.0,72679.0,31567.0,23815.0,3510.0,159712,468.0,160180,23.41,95.37
15,2022,4,Río Negro,34043.0,48401.0,43958.0,16277.0,19413.0,161544,548.0,162092,21.04,75.31
16,2022,4,Salta,36939.0,97023.0,53470.0,11884.0,6544.0,205855,5.0,205860,14.04,75.93
17,2022,4,San Juan,38570.0,22913.0,12491.0,21912.0,7940.0,103545,281.0,103826,12.96,16.39
18,2022,4,San Luis,6283.0,43460.0,3409.0,81557.0,511.0,135028,192.0,135220,25.83,30.67
19,2022,4,Santa Cruz,9702.0,23876.0,12217.0,3746.0,662.0,50005,198.0,50203,12.95,14.33
20,2022,4,Santa Fe,163621.0,412157.0,248558.0,44113.0,19242.0,887581,110.0,887691,24.65,90.3
21,2022,4,Santiago Del Estero,13577.0,80955.0,15117.0,6911.0,2934.0,119492,2.0,119494,11.92,34.4
22,2022,4,Tierra Del Fuego,12754.0,41293.0,405.0,157.0,651.0,54948,312.0,55260,30.07,13.48
23,2022,4,Tucumán,69441.0,20668.0,168717.0,4069.0,527.0,263392,30.0,263422,15.12,88.33
24,2022,3,Buenos Aires,339648.0,2748325.0,1436433.0,126846.0,70416.0,4715469,6199.0,4721668,26.37,70.19
25,2022,3,Capital Federal,140791.0,1240125.0,129218.0,5758.0,31787.0,1545534,2145.0,1547679,50.22,101.05
26,2022,3,Catamarca,10010.0,10495.0,46224.0,1329.0,2235.0,70292,1.0,70293,16.62,60.99
27,2022,3,Chaco,27164.0,61800.0,44645.0,8178.0,2359.0,144141,5.0,144146,11.72,53.21
28,2022,3,Chubut,45377.0,72212.0,9574.0,29784.0,8831.0,164874,904.0,165778,25.86,15.57
29,2022,3,Córdoba,163770.0,465461.0,338570.0,61070.0,9797.0,1038600,68.0,1038668,27.04,56.32
30,2022,3,Corrientes,36508.0,77140.0,18619.0,7256.0,5323.0,144842,4.0,144846,12.69,45.07
31,2022,3,Entre Ríos,60345.0,132952.0,36971.0,26098.0,12593.0,268937,22.0,268959,19.04,42.49
32,2022,3,Formosa,14470.0,25880.0,11041.0,16935.0,212.0,68537,1.0,68538,11.14,30.35
33,2022,3,Jujuy,19257.0,52978.0,40172.0,4033.0,2383.0,118823,0.0,118823,15.06,32.43
34,2022,3,La Pampa,7796.0,60078.0,23551.0,20216.0,4451.0,115921,171.0,116092,31.82,18.1
35,2022,3,La Rioja,6842.0,53899.0,19697.0,6395.0,31.0,86860,4.0,86864,21.47,44.3
36,2022,3,Mendoza,37659.0,78858.0,142615.0,27625.0,2766.0,288746,777.0,289523,14.24,34.16
37,2022,3,Misiones,35513.0,88902.0,39046.0,11074.0,7622.0,182157,0.0,182157,14.11,49.3
38,2022,3,Neuquén,29352.0,75815.0,29396.0,27482.0,1116.0,162693,468.0,163161,23.92,47.81
39,2022,3,Río Negro,35552.0,48260.0,41017.0,16760.0,18969.0,160010,548.0,160558,20.91,34.13
40,2022,3,Salta,40006.0,96984.0,50254.0,10082.0,7215.0,204536,5.0,204541,13.99,41.33
41,2022,3,San Juan,38570.0,22723.0,12328.0,21860.0,7918.0,103118,281.0,103399,12.94,15.84
42,2022,3,San Luis,6860.0,29363.0,248.0,70614.0,14985.0,121888,182.0,122070,23.39,19.33
43,2022,3,Santa Cruz,10170.0,24047.0,10815.0,3896.0,582.0,49312,198.0,49510,12.85,12.6
44,2022,3,Santa Fe,183740.0,426255.0,215189.0,43079.0,19547.0,887700,110.0,887810,24.7,45.15
45,2022,3,Santiago Del Estero,15385.0,80937.0,13170.0,6618.0,2922.0,119030,2.0,119032,11.91,17.69
46,2022,3,Tierra Del Fuego,12754.0,39963.0,403.0,125.0,651.0,53584,312.0,53896,29.5,11.01
47,2022,3,Tucumán,77738.0,18518.0,162345.0,3997.0,519.0,263087,30.0,263117,15.14,53.36
